                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.74307,                 1.2477,                0.59502,                0.91328,                 0.2936,                0.31869,                0.27013,                0.18268,                0.29098,                0.34428,                0.25699,                0.16495,                  1.513,                 3.1748,                  2.373,                  1.385,             0.00076119,             0.00076119,             0.00076119
                     81,                0.73618,                 1.2409,                0.56915,                0.90731,                0.42943,                0.29123,                0.26595,                 0.1764,                0.42262,                0.28496,                0.25209,                0.16148,                 1.4724,                  3.203,                 2.4388,                 1.3367,               0.000755,               0.000755,               0.000755
                     82,                0.72706,                 1.2223,                0.56316,                0.91225,                0.47935,                 0.2968,                0.28891,                0.18831,                0.47678,                0.29469,                0.28344,                0.17198,                 1.4671,                 3.1065,                 2.3784,                 1.3562,             0.00074881,             0.00074881,             0.00074881
                     83,                0.74895,                 1.2466,                0.58611,                0.91691,                0.44912,                 0.3058,                0.28106,                0.18931,                0.43942,                0.29953,                0.26772,                0.17277,                 1.4501,                 3.1452,                 2.3559,                 1.3398,             0.00074263,             0.00074263,             0.00074263
                     84,                0.73236,                 1.2108,                0.58108,                0.90385,                0.40115,                0.30168,                0.26225,                0.17597,                0.39195,                 0.2946,                0.25221,                0.15948,                 1.4566,                 3.2677,                 2.5441,                  1.338,             0.00073644,             0.00073644,             0.00073644
                     85,                0.73561,                 1.2221,                0.57419,                0.90807,                0.34866,                0.33985,                0.27336,                0.17555,                0.34566,                0.33419,                0.26186,                0.16644,                 1.4578,                 3.1612,                 2.4163,                 1.3494,             0.00073025,             0.00073025,             0.00073025
                     86,                0.73412,                 1.2227,                0.57746,                0.90553,                0.35902,                0.31782,                0.26978,                0.18188,                0.36826,                0.31846,                0.26917,                0.16579,                 1.4583,                 3.2088,                 2.3532,                 1.3494,             0.00072406,             0.00072406,             0.00072406
                     87,                0.71749,                  1.186,                0.55888,                 0.9005,                0.28727,                0.35002,                 0.2641,                 0.1785,                0.28934,                0.35997,                 0.2629,                0.16422,                 1.4669,                 3.2598,                 2.4654,                 1.3709,             0.00071788,             0.00071788,             0.00071788
                     88,                0.74013,                 1.2179,                 0.5617,                0.90988,                0.41423,                0.29006,                   0.28,                0.18985,                0.41307,                0.29007,                 0.2767,                0.17472,                 1.4342,                 3.1143,                  2.443,                 1.3453,             0.00071169,             0.00071169,             0.00071169
                     89,                0.72544,                 1.2223,                0.55704,                0.91278,                 0.3587,                0.34156,                0.27681,                0.19039,                0.33308,                0.33727,                0.27279,                0.17223,                 1.4366,                 3.0578,                 2.3911,                 1.3339,              0.0007055,              0.0007055,              0.0007055
                     90,                0.71902,                 1.2158,                0.55378,                0.90717,                0.39016,                0.26687,                0.24142,                0.16448,                0.39285,                 0.2696,                0.24497,                0.15339,                 1.4685,                 3.1362,                 2.4862,                 1.3509,             0.00069931,             0.00069931,             0.00069931
                     91,                0.74289,                 1.2081,                 0.5657,                0.91053,                0.32151,                0.31572,                0.26078,                0.17206,                0.31747,                0.30526,                0.25368,                0.15347,                 1.4748,                 3.1029,                 2.4074,                  1.341,             0.00069313,             0.00069313,             0.00069313
                     92,                0.68924,                 1.1813,                0.54177,                0.89756,                 0.3744,                0.30744,                 0.2679,                0.17853,                0.37297,                0.30533,                0.25937,                 0.1673,                 1.4324,                 3.0947,                 2.4136,                 1.3199,             0.00068694,             0.00068694,             0.00068694
                     93,                0.70239,                 1.1965,                0.56152,                0.89761,                0.30928,                0.34561,                0.25286,                0.16702,                0.42378,                0.25104,                0.23804,                0.15079,                 1.4007,                 3.2385,                  2.379,                 1.2888,             0.00068075,             0.00068075,             0.00068075
                     94,                0.72202,                  1.199,                0.55926,                 0.9107,                0.39016,                0.32653,                0.27972,                0.18224,                0.38186,                 0.3195,                0.27159,                0.16912,                 1.4429,                 3.1059,                 2.5115,                 1.3147,             0.00067456,             0.00067456,             0.00067456
                     95,                0.69327,                 1.1559,                0.52211,                0.90266,                0.37054,                 0.3342,                0.27705,                0.18441,                0.32093,                0.35545,                 0.2638,                0.16968,                 1.4434,                 3.2488,                   2.51,                 1.3374,             0.00066838,             0.00066838,             0.00066838
                     96,                0.73166,                 1.2266,                0.55882,                0.90784,                0.41297,                 0.2996,                0.26351,                0.16845,                0.40612,                0.29648,                0.25972,                0.15176,                 1.4582,                 3.1721,                 2.4652,                 1.3387,             0.00066219,             0.00066219,             0.00066219
                     97,                0.71031,                 1.2035,                0.54463,                0.90157,                0.39372,                0.30827,                0.26345,                 0.1759,                0.38565,                0.29832,                0.25663,                0.16148,                 1.4851,                 3.2316,                 2.4385,                 1.3624,               0.000656,               0.000656,               0.000656
                     98,                0.70296,                 1.1811,                0.54529,                0.90433,                0.35854,                0.28336,                0.25136,                0.17117,                0.36106,                0.28609,                0.25841,                0.15901,                 1.4562,                 3.1778,                  2.402,                  1.363,             0.00064981,             0.00064981,             0.00064981
                     99,                0.69698,                 1.1792,                0.52622,                0.90194,                0.38001,                0.33311,                0.26299,                0.17122,                0.34804,                0.32368,                0.25919,                0.15695,                 1.4601,                 3.2151,                 2.4818,                 1.3573,             0.00064362,             0.00064362,             0.00064362
                    100,                0.69697,                 1.1792,                0.53482,                0.90051,                0.34454,                0.29085,                0.25326,                0.17063,                0.33843,                0.28174,                 0.2454,                 0.1566,                 1.4649,                 3.2667,                 2.4615,                 1.3624,             0.00063744,             0.00063744,             0.00063744
                    101,                0.70196,                 1.1788,                0.54499,                0.89648,                0.42307,                0.32202,                0.27611,                0.18391,                0.41619,                0.31667,                0.27078,                0.17025,                 1.4385,                 3.2819,                 2.3943,                 1.3124,             0.00063125,             0.00063125,             0.00063125
                    102,                0.71788,                 1.1863,                0.54602,                0.90392,                 0.3076,                0.33779,                0.25782,                0.16796,                0.34346,                0.30168,                0.24427,                0.15613,                 1.4541,                 3.3451,                    2.5,                 1.3227,             0.00062506,             0.00062506,             0.00062506
